chave_produto,praca,pontos,alcance,impactos,frequencia
PR35244,SP,1,181546,299806,1.6514072066952883
PR35103,SP,1,166618,297742,1.786974280397592
PR35092,SP,1,190056,297205,1.563775272626939
PR35093,SP,1,190068,297187,1.5635805712931616
PR37282,SP,1,168275,297150,1.7658539350861824
PR37281,SP,1,168272,297143,1.7658528871375714
PR38198,SP,1,195913,296877,1.5153520137963237
PR38197,SP,1,195904,296876,1.5154123560914756
PR37348,SP,1,169092,296764,1.7550446780292346
PR37347,SP,1,169090,296762,1.7550556702411269
PR35261,SP,1,194757,295909,1.5193777302245828
PR35260,SP,1,194758,295900,1.5193215544161593
PR35262,SP,1,184782,293862,1.590313071127202
PR38291,SP,1,185130,291756,1.5759481452368949
PR38287,SP,1,185136,291755,1.5758915586334488
PR38290,SP,1,185139,291754,1.5758680987288045
PR38288,SP,1,185142,291752,1.5758264678525034
PR38286,SP,1,185147,291749,1.575765443354383
PR35102,SP,1,163350,290104,1.7759651433844583
PR35101,SP,1,163342,290100,1.7760317297061015
PR38293,SP,1,154316,287362,1.86216013929777
PR38292,SP,1,154306,287353,1.8622295554096695
PR37334,SP,1,174058,285325,1.6392521309099535
PR38168,SP,1,181601,284418,1.5661692189377563
PR38167,SP,1,181617,284411,1.5659932176064728
PR36265,SP,1,190949,284398,1.4893897288649773
PR36266,SP,1,190942,284398,1.4894483709405493
PR36300,SP,1,185544,282382,1.5219137656205066
PR36299,SP,1,185539,282377,1.5219236098797184
PR36297,SP,1,184792,280816,1.5196345694661533
PR36298,SP,1,184785,280815,1.5196896567791265
PR36296,SP,1,184789,280808,1.5196165902507857
PR35686,SP,1,168880,276852,1.6393346619629932
PR35687,SP,1,168886,276838,1.6391985400354283
PR37280,SP,1,156820,276564,1.7635756607114028
PR37165,SP,1,179004,276200,1.5429863083016706
PR37166,SP,1,178990,276192,1.5430596422130938
PR36289,SP,1,182242,275514,1.5117968087980151
PR36288,SP,1,182250,275504,1.5116763886229243
PR38266,SP,1,169208,275112,1.6258825747356582
PR37309,SP,1,157981,272090,1.7222960353469143
PR37310,SP,1,157992,272089,1.7221688124362033
PR35619,SP,1,156795,269464,1.7185680833635
PR35620,SP,1,156784,269459,1.7186634918606052
PR36186,SP,1,151553,266001,1.7551608223743573
PR37111,SP,1,153881,263360,1.7114425701000018
PR37198,SP,1,143744,262460,1.8258897582579041
PR37199,SP,1,143736,262449,1.8259056161139418
PR38355,SP,1,161074,261121,1.6211166593232924
PR34885,SP,1,168446,259341,1.5396060273305427
PR36549,SP,1,161397,257449,1.5951255856258308
PR36548,SP,1,161410,257446,1.5949812059456754
PR35633,SP,1,165474,257266,1.5547197363894194
PR35634,SP,1,165470,257265,1.554750445395804
PR36428,SP,1,140614,256633,1.8250907732710695
PR36427,SP,1,140608,256627,1.8251210718543989
PR37114,SP,1,161903,252837,1.5616537222555238
PR37115,SP,1,161902,252821,1.561570958852057
PR36730,SP,1,164791,252471,1.5320655973512212
PR36729,SP,1,164798,252468,1.5319857112716426
PR36718,SP,1,151150,249580,1.6512102408414209
PR36717,SP,1,151149,249577,1.651204222164325
PR36253,SP,1,152782,246926,1.616196231271916
PR36254,SP,1,152790,246916,1.6160534720858695
PR38218,SP,1,140021,244542,1.7464584790249742
PR38217,SP,1,140032,244533,1.74626733932172
PR35107,SP,1,129426,242498,1.8736380799472134
PR36431,SP,1,138376,242131,1.7498035789391528
PR36432,SP,1,138376,242118,1.7497019910789913
PR37206,SP,1,150685,241439,1.6022803168459807
PR36892,SP,1,159835,240086,1.5020850532032204
PR36893,SP,1,159819,240081,1.5022037666856152
PR36894,SP,1,159821,240079,1.5021749616336908
PR36891,SP,1,159816,240072,1.5021776279110803
PR37287,SP,1,144395,238840,1.6540702494019561
PR37288,SP,1,144400,238829,1.6539450297084117
PR37336,SP,1,152118,238215,1.5659874609489965
PR37335,SP,1,152117,238211,1.5659775153409827
PR37279,SP,1,137949,238184,1.7266074179319244
PR37278,SP,1,137954,238183,1.726537687647395
PR34921,SP,1,153567,237399,1.545904014447889
PR34922,SP,1,153558,237392,1.5459476489733328
PR36531,SP,1,148164,234177,1.58052385518421
PR36530,SP,1,148172,234172,1.5804002187173394
PR36291,SP,1,145864,234069,1.6047072773637099
PR36292,SP,1,145872,234055,1.6045242675411135
PR36290,SP,1,145862,234054,1.604623172132792
PR36890,SP,1,153489,232971,1.5178393798438299
PR36887,SP,1,153482,232964,1.517854025941026
PR36889,SP,1,153489,232963,1.5177792154402343
PR36888,SP,1,153481,232956,1.5178149554227045
PR36716,SP,1,125267,230483,1.839929025553451
PR36715,SP,1,125274,230475,1.8397709374699909
PR35651,SP,1,132113,229715,1.7387680528102367
PR35652,SP,1,132104,229708,1.7388360435594217
PR38298,SP,1,140930,229269,1.6268311631933048
PR38297,SP,1,140929,229253,1.6267206793737026
PR37630,SP,1,154881,228955,1.4782582055395201
PR37627,SP,1,154883,228948,1.4782045634285108
PR37629,SP,1,154874,228948,1.478283948578196
PR37628,SP,1,154875,228942,1.4782361989809625
PR36556,SP,1,130278,228903,1.7570270734348372
PR36557,SP,1,130282,228902,1.7569635044743428
PR38160,SP,1,135977,228368,1.6794559847269188
PR38161,SP,1,135967,228359,1.6795064779585254
PR38159,SP,1,133001,222638,1.6739565098105293
PR36732,SP,1,142009,222216,1.5648023201878696
PR35263,SP,1,135384,220963,1.6321159559795924
PR35602,SP,1,134507,213082,1.5841701337004603
PR35603,SP,1,134498,213078,1.5842485006116813
PR38211,SP,1,118870,208488,1.7539051162865824
PR36470,SP,1,129528,205437,1.5860410352427021
PR36471,SP,1,129544,205430,1.5857911949421426
PR37363,SP,1,133593,204078,1.5276018131385776
PR37362,SP,1,133583,204073,1.5276809970078684
PR38209,SP,1,116390,203720,1.7503154891783432
PR38210,SP,1,116384,203713,1.7503469316685312
PR36426,SP,1,131991,203395,1.540972396212579
PR37151,SP,1,123843,200748,1.6209834289672265
PR37152,SP,1,123859,200736,1.620681300330164
PR38338,SP,1,121798,199494,1.6379081815206702
PR35108,SP,1,115567,198895,1.7210269178412425
PR37579,SP,1,134711,197708,1.467642445697476
PR37578,SP,1,134697,197706,1.4677792832086713
PR35629,SP,1,119152,197347,1.6562636327487097
PR35630,SP,1,119151,197347,1.6562784591300141
PR37617,SP,1,126846,196794,1.5514388517850257
PR37616,SP,1,126841,196786,1.5514361890501858
PR35640,SP,1,124213,194192,1.5633797226783155
PR35639,SP,1,124205,194177,1.563362609887719
PR36208,SP,1,123449,192133,1.5563729931563082
PR38156,SP,1,123028,190983,1.5523555040985308
PR38155,SP,1,123012,190976,1.5524910200299709
PR38325,SP,1,119188,189592,1.5906959374799163
PR38227,SP,1,123952,189220,1.526555945194154
PR37289,SP,1,117875,187990,1.5948283533840883
PR37290,SP,1,117875,187986,1.5947831897048301
PR37655,SP,1,108437,184574,1.7021289113976905
PR37654,SP,1,108448,184556,1.7017870750341728
PR37581,SP,1,122350,183130,1.4967704976505132
PR37580,SP,1,122365,183116,1.4964637624214518
PR37593,SP,1,110666,181434,1.6394749697243192
PR37592,SP,1,110672,181433,1.6393821352100362
PR34880,SP,1,106026,181066,1.7077460053016795
PR34881,SP,1,106009,181063,1.7079947076381352
PR34768,SP,1,115446,180801,1.5661110117383528
PR35296,SP,1,101988,179959,1.7645117483949158
